x;y
0;-1.8739E-29
1.2;-1.98352E-05
2.4;-3.96703E-05
3.6;-6.67639E-05
4.8;-0.0001063
6;-0.000145837
7.2;-0.000186618
8.4;-0.000227843
9.6;-0.000271393
10.8;-0.000334703
12;-0.000398013
13.2;-0.000458332
14.4;-0.000515327
15.6;-0.000572322
16.8;-0.000643685
18;-0.000717742
19.2;-0.0007907
20.4;-0.000859542
21.6;-0.000928384
22.8;-0.00100487
24;-0.00108691
25.2;-0.00116895
26.4;-0.00124651
27.6;-0.00132381
28.8;-0.00140428
30;-0.00149163
31.2;-0.00157899
32.4;-0.00166314
33.6;-0.00174583
34.8;-0.00182891
36;-0.00191909
37.2;-0.00200928
38.4;-0.00209747
39.6;-0.00218291
40.8;-0.00226836
42;-0.0023582
43.2;-0.0024492
44.4;-0.00253944
45.6;-0.00262559
46.8;-0.00271174
48;-0.00280012
49.2;-0.0028905
50.4;-0.00298088
51.6;-0.00306684
52.8;-0.00315229
54;-0.00323864
55.2;-0.00332754
56.4;-0.00341644
57.6;-0.00350198
58.8;-0.00358557
60;-0.00366916
