x,y
0,-0.00000000000025224
1.2,-0.00002629
2.4,-0.00005258
3.6,-0.00007887
4.8,-0.00010516
6,-0.00013145
7.2,-0.000176079
8.4,-0.000220708
9.6,-0.000265337
10.8,-0.000309966
12,-0.000354595
13.2,-0.00042485
14.4,-0.000495106
15.6,-0.000565362
16.8,-0.000635617
18,-0.000705873
19.2,-0.000771382
20.4,-0.000836891
21.6,-0.0009024
22.8,-0.00096791
24,-0.00103342
25.2,-0.00111906
26.4,-0.00120471
27.6,-0.00129035
28.8,-0.00137599
30,-0.00146164
31.2,-0.00154029
32.4,-0.00161894
33.6,-0.0016976
34.8,-0.00177625
36,-0.00185491
37.2,-0.00194677
38.4,-0.00203863
39.6,-0.00213049
40.8,-0.00222236
42,-0.00231422
43.2,-0.00239634
44.4,-0.00247846
45.6,-0.00256058
46.8,-0.0026427
48,-0.00272482
49.2,-0.0028165
50.4,-0.00290818
51.6,-0.00299986
52.8,-0.00309154
54,-0.00318322
55.2,-0.00326355
56.4,-0.00334389
57.6,-0.00342423
58.8,-0.00350457
60,-0.0035849
