x;y
0;2.54017E-29
4;-0.000906617
8;-0.00181323
12;-0.00331184
16;-0.00582528
20;-0.00833873
24;-0.01174
28;-0.0154584
32;-0.0193
36;-0.0241899
40;-0.0290797
44;-0.0344526
48;-0.040362
52;-0.0462715
56;-0.052959
60;-0.0597924
64;-0.0667777
68;-0.0743327
72;-0.0818877
76;-0.0898564
80;-0.0981258
84;-0.106395
88;-0.115123
92;-0.123876
96;-0.132793
100;-0.142064
104;-0.151335
108;-0.160812
112;-0.170383
116;-0.179972
120;-0.189892
124;-0.199811
128;-0.209797
132;-0.219875
136;-0.229953
140;-0.240199
144;-0.250489
148;-0.260788
152;-0.271133
156;-0.281479
160;-0.291884
164;-0.302343
168;-0.312803
172;-0.32325
176;-0.333696
180;-0.344156
184;-0.354656
188;-0.365157
192;-0.375628
196;-0.386081
200;-0.396534
